Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,023090,2008,07,08,13.5,1,Y
IDCJAC0010,023090,2008,07,09,14.3,1,Y
IDCJAC0010,023090,2008,07,10,13.1,1,Y
IDCJAC0010,023090,2008,07,11,14.0,1,Y
IDCJAC0010,023090,2008,07,12,15.8,1,Y
IDCJAC0010,023090,2008,07,13,16.8,1,Y
IDCJAC0010,023090,2008,07,14,15.4,1,Y
IDCJAC0010,023090,2008,07,15,14.7,1,Y
IDCJAC0010,023090,2008,07,16,14.1,1,Y
IDCJAC0010,023090,2008,07,17,14.7,1,Y
IDCJAC0010,023090,2008,07,18,15.3,1,Y
IDCJAC0010,023090,2008,07,19,18.1,1,Y
IDCJAC0010,023090,2008,07,20,12.0,1,Y
IDCJAC0010,023090,2008,07,21,14.2,1,Y
IDCJAC0010,023090,2008,07,22,13.8,1,Y
IDCJAC0010,023090,2008,07,23,14.2,1,Y
IDCJAC0010,023090,2008,07,24,14.9,1,Y
IDCJAC0010,023090,2008,07,25,16.4,1,Y
IDCJAC0010,023090,2008,07,26,13.8,1,Y
IDCJAC0010,023090,2008,07,27,11.8,1,Y
IDCJAC0010,023090,2008,07,28,14.0,1,Y
IDCJAC0010,023090,2008,07,29,13.0,1,Y
IDCJAC0010,023090,2008,07,30,16.1,1,Y
IDCJAC0010,023090,2008,07,31,19.3,1,Y
IDCJAC0010,023090,2008,08,01,13.8,1,Y
IDCJAC0010,023090,2008,08,02,14.3,1,Y
IDCJAC0010,023090,2008,08,03,18.1,1,Y
IDCJAC0010,023090,2008,08,04,13.8,1,Y
IDCJAC0010,023090,2008,08,05,15.0,1,Y
IDCJAC0010,023090,2008,08,06,11.9,1,Y
IDCJAC0010,023090,2008,08,07,13.2,1,Y
IDCJAC0010,023090,2008,08,08,14.4,1,Y
IDCJAC0010,023090,2008,08,09,12.9,1,Y
IDCJAC0010,023090,2008,08,10,11.7,1,Y
IDCJAC0010,023090,2008,08,11,13.8,1,Y
IDCJAC0010,023090,2008,08,12,14.0,1,Y
IDCJAC0010,023090,2008,08,13,13.9,1,Y
IDCJAC0010,023090,2008,08,14,12.8,1,Y
IDCJAC0010,023090,2008,08,15,13.2,1,Y
IDCJAC0010,023090,2008,08,16,14.1,1,Y
IDCJAC0010,023090,2008,08,17,14.1,1,Y
IDCJAC0010,023090,2008,08,18,14.9,1,Y
IDCJAC0010,023090,2008,08,19,15.7,1,Y
IDCJAC0010,023090,2008,08,20,17.0,1,Y
IDCJAC0010,023090,2008,08,21,13.4,1,Y
IDCJAC0010,023090,2008,08,22,12.7,1,Y
IDCJAC0010,023090,2008,08,23,14.1,1,Y
IDCJAC0010,023090,2008,08,24,15.1,1,Y
IDCJAC0010,023090,2008,08,25,17.4,1,Y
